reference_dcp	iter	base_before_dcp	net_name	sink_cell	target_slice	split_name	buffer_name	sink_pin_cmd	resolved_sink_pin	baseline_ps	eco_total_ps	delta_total_ps	eco_seg1_ps	eco_seg2_ps	lut_delay_ps
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0147	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0147/base_before.dcp	f[43]_INST_0_i_3_n_0	f[48]_INST_0_i_5	SLICE_X54Y367										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0148	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0148/base_before.dcp	f[44]_INST_0_i_3_n_0	f[44]_INST_0_i_1	SLICE_X54Y364										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0149	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0149/base_before.dcp	f[47]_INST_0_i_3_n_0	f[47]_INST_0_i_1	SLICE_X54Y363										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0150	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0150/base_before.dcp	f[56]_INST_0_i_3_n_0	f[63]_INST_0_i_6	SLICE_X53Y369										
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0151	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0151/base_before.dcp	f[31]_INST_0_i_3/O	f[31]_INST_0_i_1	SLICE_X55Y379				I1	1790.5	3769.6	1979.1	1932.8	1801.8	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0152	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0152/base_before.dcp	f[31]_INST_0_i_3/O	f[32]_INST_0_i_1	SLICE_X55Y379				I2	1790.5	3769.6	1979.1	1932.8	1801.8	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0153	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0153/base_before.dcp	f[32]_INST_0_i_3/O	f[33]_INST_0_i_1	SLICE_X55Y379				I2	1800.2	3587.8	1787.6	1832.3	1720.5	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0154	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0154/base_before.dcp	f[32]_INST_0_i_3/O	f[34]_INST_0_i_4	SLICE_X55Y379				I2	1762.2	3607.1	1844.9	1832.3	1739.8	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0155	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0155/base_before.dcp	f[32]_INST_0_i_3/O	f[38]_INST_0_i_6	SLICE_X55Y379				I5	1869.2	3613.8	1744.6	1832.3	1746.5	
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0156	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0156/base_before.dcp	f[34]_INST_0_i_3/O	f[34]_INST_0_i_1	SLICE_X55Y377				I1						
/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/current_base.dcp	iter_0157	/home/cian/Masterproef/project/results/run_eco_batch/2026-04-22_20-18-58/iterations/iter_0157/base_before.dcp	f[34]_INST_0_i_3/O	f[43]_INST_0_i_7	SLICE_X55Y377				I1						
